"Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	Q7A	Q7I	Q7E	Q8A	Q8I	Q8E	Q9A	Q9I	Q9E	Q10A	Q10I	Q10E	Q11A	Q11I	Q11E	Q12A	Q12I	Q12E	Q13A	Q13I	Q13E	Q14A	Q14I	Q14E	Q15A	Q15I	Q15E	Q16A	Q16I	Q16E	Q17A	Q17I	Q17E	Q18A	Q18I	Q18E	Q19A	Q19I	Q19E	Q20A	Q20I	Q20E	Q21A	Q21I	Q21E	Q22A	Q22I	Q22E	Q23A	Q23I	Q23E	Q24A	Q24I	Q24E	Q25A	Q25I	Q25E	Q26A	Q26I	Q26E	Q27A	Q27I	Q27E	Q28A	Q28I	Q28E	Q29A	Q29I	Q29E	Q30A	Q30I	Q30E	Q31A	Q31I	Q31E	Q32A	Q32I	Q32E	Q33A	Q33I	Q33E	Q34A	Q34I	Q34E	Q35A	Q35I	Q35E	Q36A	Q36I	Q36E	Q37A	Q37I	Q37E	Q38A	Q38I	Q38E	Q39A	Q39I	Q39E	Q40A	Q40I	Q40E	Q41A	Q41I	Q41E	Q42A	Q42I	Q42E	country	source	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screensize	uniquenetworklocation	hand	religion	orientation	race	voted	married	familysize	major"
"2	5	2489	3	26	3421	4	42	3067	2	17	2134	4	41	2151	2	34	1588	3	14	1901	4	28	2105	4	29	2732	4	16	1701	3	15	4762	3	35	2359	4	31	2347	2	23	1900	2	18	1734	4	13	4464	4	39	1533	1	30	2102	2	11	7446	2	1	6496	4	22	1399	3	10	1665	1	32	2133	4	4	3181	2	37	2417	4	21	1432	4	25	3049	1	8	3086	3	9	2098	2	7	1934	3	27	2241	2	19	2550	2	3	2906	4	36	1600	2	38	4567	2	40	1467	4	12	2123	4	20	1549	4	33	1701	1	2	1195	2	24	2032	4	6	1952	US	1	3	115	170	3	6	7	5	6	7	7	5	2	4	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	2	2	15	1	2	1	10	2	10	2	1	3	"
"2	34	5382	1	30	1912	4	40	3439	4	38	10937	4	24	1349	2	17	3115	1	3	8466	4	7	2394	1	36	5635	4	19	3974	3	11	2489	4	35	3953	3	4	3635	4	37	5966	2	8	3759	1	33	3232	4	15	1644	4	16	1941	1	25	4886	1	32	3116	4	20	1753	4	41	1934	1	26	2444	2	9	3015	4	13	5473	4	27	2481	4	23	1297	4	18	2271	2	1	4728	2	5	7935	1	28	2978	4	31	2676	3	2	11203	4	29	1942	4	21	4240	4	39	1449	4	6	3145	4	10	2532	4	22	1521	3	12	2880	4	42	1971	4	14	3007	US	2	2	154	102	6	7	4	7	6	2	4	2	2	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	2	2	2	1	17	2	1	1	1	5	60	2	1	2	"
"1	13	3594	1	2	7774	1	27	3616	1	28	2574	3	22	3594	1	41	2659	1	23	2393	1	42	2894	3	24	5496	1	37	4183	1	10	3554	1	25	2371	2	12	2176	4	3	5880	1	9	2335	4	40	2613	3	8	5311	1	36	2716	1	33	3157	1	11	3592	1	16	2014	1	31	2034	1	14	1847	4	19	3471	1	29	2857	1	20	2957	1	34	4462	2	30	1813	1	38	7633	1	21	6403	1	35	3432	4	5	5352	2	1	9878	1	32	1146	4	17	7919	1	15	1527	1	18	4606	2	4	4665	2	6	5272	4	39	4467	1	7	2013	1	26	2497	NONE	2	5	162	230	5	1	4	1	7	6	7	3	7	2	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	1	2	2	19	1	2	1	4	2	10	2	1	0	Computer Engineering"
"2	10	3811	1	40	2469	2	41	2654	1	15	4470	2	16	4994	2	3	7559	1	9	5555	4	30	4339	3	23	10499	2	34	4320	3	1	22393	4	21	5086	2	22	2198	2	27	6206	1	39	2609	2	11	5115	2	32	2718	3	19	4166	1	28	3257	2	33	4112	2	35	2808	3	4	6134	1	31	2454	2	12	6210	1	8	9957	2	18	4255	3	42	2969	1	13	2852	3	7	5677	1	20	10062	2	17	3062	4	5	8397	2	6	3579	2	24	3842	2	2	16108	1	38	2051	2	37	5451	2	14	2442	2	25	3476	1	26	6690	1	36	2329	2	29	4031	AR	1	39	224	609	1	2	7	4	7	7	7	7	6	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	3	3	2	2	39	1	2	3	12	3	70	2	1	2	Music"
"4	28	3407	1	16	596	4	29	4376	2	40	5272	4	2	8047	4	5	3515	3	14	8293	4	22	1224	4	13	4483	4	31	2287	4	38	2016	4	15	3031	3	12	1439	1	17	7079	2	21	714	3	11	5782	4	26	1785	4	32	1958	1	36	8127	2	35	520	4	18	2702	4	37	2159	2	23	2488	2	6	11508	2	9	15434	4	24	505	4	8	3869	4	7	2844	4	1	7847	4	3	8680	2	20	3345	4	25	8456	4	27	1960	4	30	1926	3	19	4636	4	10	2088	3	34	3896	4	39	2192	4	41	17974	4	33	3746	2	42	3304	4	4	9159	DE	2	1	4290	182	3	1	1	7	4	5	5	4	4	2	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	3	2	2	16	1	1	1	2	2	10	2	1	2	Art"
"4	15	4813	1	28	4778	3	1	71479	2	18	12065	2	37	22949	4	12	4895	4	19	8855	3	38	4098	3	36	6258	3	5	29037	2	2	48553	3	42	11778	2	20	8671	4	30	8904	2	4	22938	2	27	7843	4	8	10993	3	26	19001	1	10	28901	4	35	3283	3	31	6280	3	24	9275	1	6	15682	4	25	5483	3	9	232387	4	17	14580	3	22	4573	4	23	3607	4	32	4690	4	7	4230	3	39	227004	2	29	7282	4	34	3306	4	33	4788	3	3	42040	4	16	6383	4	41	5173	2	40	8077	4	11	4852	4	13	19598	2	14	21088	2	21	13066	AR	1	129	1041	393	6	7	5	7	6	4	6	2	1	2	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	3	2	2	2	33	1	2	1	4	5	60	2	1	3	Music"
"3	21	4769	3	8	2277	2	3	7553	3	23	2064	4	34	3321	2	9	3129	3	28	2054	3	7	3191	2	13	8639	3	10	3313	3	41	1968	3	6	3865	3	33	1815	4	25	3639	3	5	3141	3	26	2835	4	24	3541	3	39	1923	1	12	5999	4	35	2863	3	18	2090	3	1	6550	1	2	5538	3	14	5138	4	19	4863	3	4	3836	3	42	1394	3	30	1614	3	31	4037	3	37	6450	3	29	2863	3	22	2507	3	15	2476	3	27	2218	2	11	5653	3	40	1621	2	32	4401	3	36	2326	3	16	2283	3	38	3800	3	20	2740	3	17	5971	CA	0	11	170	200	3	5	4	7	5	5	5	6	3	4	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	3	2	1	32	1	1	1	12	1	60	1	3	1	"
"1	32	2633	1	3	8029	4	17	3581	1	23	4029	4	12	6548	2	2	20314	1	14	3676	1	6	2544	1	5	8232	4	18	2582	1	25	5798	1	36	6497	3	13	2649	1	24	5650	1	42	3497	4	27	3976	4	33	2883	1	40	2933	1	7	8166	1	26	2785	4	20	3103	1	38	2719	1	15	2406	4	19	3714	1	39	4298	3	1	18407	1	37	2447	1	11	3533	1	22	2851	1	8	6214	3	9	10013	1	34	3749	1	31	2166	4	41	2466	1	28	5453	1	30	1365	4	10	7482	4	16	2801	1	29	1917	1	4	4915	1	21	2930	4	35	4232	US	2	34	206	194	7	3	3	2	7	2	7	5	2	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	3	1	2	1	56	2	1	1	2	2	60	0	2	2	medical technology"
"4	28	4139	2	39	4132	2	2	20257	2	15	6725	2	17	3835	4	34	2508	1	9	7493	2	22	3871	3	10	22474	2	8	5527	4	4	4815	3	5	8396	3	13	3669	4	11	10225	2	25	5580	2	33	3888	4	40	5298	3	32	4962	2	16	5141	2	37	5042	4	35	3552	1	36	27982	1	41	2548	3	29	6803	1	6	15820	2	19	3769	2	14	10780	2	38	2852	3	18	4807	3	20	21868	2	3	5351	1	31	6922	1	27	3668	4	42	4029	1	21	9934	2	23	2601	3	7	5827	4	24	3528	2	1	20447	4	30	6672	1	26	18822	4	12	12205	PL	2	577	339	142	4	1	2	7	7	4	4	6	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	2	2	2	2	18	2	1	1	2	2	60	2	1	2	"
"1	39	3439	1	29	3064	1	4	3112	2	21	10568	1	15	3152	2	11	4169	1	27	3392	1	13	1640	1	28	13368	1	31	1832	1	6	3431	1	41	2520	1	5	1905	1	26	6456	1	25	1223	1	10	2616	1	14	2008	1	8	2576	1	33	6872	1	42	1816	1	7	2584	1	19	1879	1	9	2712	1	36	3033	4	20	11200	1	17	1785	1	18	1840	1	24	1120	1	34	2408	1	32	5160	1	40	1840	1	38	2072	1	3	2288	1	1	7054	1	23	8913	1	22	1472	1	2	8119	1	37	1448	1	35	1816	1	16	2880	1	30	1928	1	12	4311	IT	2	13	158	143	6	6	6	2	7	6	7	5	7	4	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	2	1	1	2	21	2	1	1	2	2	60	2	1	2	"
"4	30	7884	4	25	2716	4	39	3316	1	31	36621	4	6	3782	3	26	2602	3	15	4102	4	16	1849	3	37	5256	4	33	2300	4	3	5315	2	2	4053	4	17	2084	4	38	4978	2	28	2166	4	11	3298	4	40	4251	1	12	4587	3	35	7194	1	18	3668	4	41	3166	4	22	2278	1	27	2732	3	14	7107	2	1	3662	2	5	4773	4	10	2351	1	23	2344	4	7	3051	2	8	7387	4	32	3302	4	9	4732	2	13	2407	4	19	2101	2	20	5430	1	24	2242	4	21	3835	4	4	2699	3	42	2134	3	29	9136	2	36	2710	4	34	4299	GB	2	713	707	241	2	5	3	5	1	7	1	7	1	6	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	2	3	1	1	16	1	1	2	6	1	60	2	1	2	"
"4	31	1968	1	21	2529	3	41	21670	2	8	3968	3	40	5353	4	38	1855	2	37	2423	4	19	1888	4	11	4419	4	16	1946	4	12	2643	3	24	2716	4	7	1736	4	5	27455	2	34	2916	3	25	7378	4	2	5849	4	30	2165	4	22	3134	4	1	7698	4	14	2200	3	9	2761	2	13	2394	3	26	6356	3	4	7111	4	29	2216	4	17	6223	4	6	2656	3	39	14872	4	33	2704	3	42	2203	4	27	3022	4	3	3731	4	35	1802	4	28	7694	3	23	2483	4	15	3964	4	32	1890	3	10	2010	4	20	4137	3	18	2923	3	36	14584	GB	2	3	213	196	4	7	2	7	3	5	5	7	1	3	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	3	1	1	17	2	1	1	4	2	60	2	1	3	"
"2	1	6231	1	41	3810	1	24	2354	2	15	4143	1	42	2374	3	37	2153	1	34	2209	3	20	2580	3	22	6098	3	10	2464	3	38	1813	1	31	2893	2	23	2554	3	36	5005	2	33	2559	3	11	2863	1	18	2043	2	40	3084	3	9	6029	2	5	5496	2	30	2159	3	32	2227	2	13	2396	1	16	2989	1	2	17255	2	8	2210	3	29	2380	2	17	2688	2	19	2169	2	6	6434	1	39	2332	3	12	3450	2	26	2121	1	28	1925	1	27	3996	1	35	1671	2	3	6909	1	7	3647	3	14	2472	3	4	7439	1	25	2032	3	21	4026	FI	2	2	155	120	2	5	4	6	4	5	2	5	2	3	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	2	2	2	13	1	1	1	2	2	60	2	1	2	"
"4	27	523	4	7	2066	4	12	2526	4	31	2084	4	5	2434	4	20	191	4	34	3030	4	24	190	3	2	10814	4	1	7324	3	32	2534	4	26	199	4	3	3051	4	30	202	4	14	1113	4	13	2033	4	11	1171	4	33	2050	4	36	1263	4	35	2253	4	42	1618	3	40	2052	4	6	1582	4	23	356	4	21	184	3	41	1666	3	37	6555	4	19	186	4	15	1758	4	38	2547	4	18	643	4	9	2251	4	10	1798	4	39	1318	3	4	3900	4	28	223	4	8	2299	4	29	191	4	16	1949	4	25	374	4	22	189	4	17	1878	US	1	7	82	158	1	1	1	7	1	7	1	7	1	7	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	3	3	2	1	29	1	1	1	12	0	60	2	1	4	English "
"3	26	2233	2	8	3902	3	6	5299	2	37	3202	3	27	2315	4	33	5053	4	15	4282	4	4	1931	4	34	3433	3	32	3014	4	14	6567	4	28	2600	4	16	1647	2	24	4750	1	9	4684	3	20	1967	4	12	1799	4	35	2295	3	10	4264	3	1	10834	4	19	1869	1	39	3132	3	21	4849	4	31	2686	3	13	4917	4	22	1885	3	41	2132	3	7	2682	4	23	2432	2	25	2931	4	30	2947	4	18	4081	3	40	2115	4	36	1266	3	29	3384	3	38	2451	4	5	5383	4	11	2383	3	2	10003	4	17	3503	4	3	2302	4	42	1550	US	1	4	148	196	1	5	2	6	3	7	4	5	1	4	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	2	2	1	14	1	1	1	12	2	60	2	1	2	"
"2	24	2919	1	20	2222	2	36	3576	3	25	3841	4	5	2176	2	17	3155	1	37	3925	2	40	2510	4	35	3594	4	22	2290	3	38	3346	3	19	3116	4	34	1340	3	1	4524	2	39	2024	4	27	1510	2	21	3326	2	4	4023	4	18	5083	4	14	2296	3	29	1417	2	12	2424	1	41	2256	4	2	2754	4	30	2158	4	26	1735	2	8	2286	3	33	2025	2	23	4149	1	31	3841	3	28	2360	3	9	4022	4	32	2009	3	42	1814	2	15	3312	2	16	2434	4	7	3296	3	10	2571	2	13	1623	3	6	2477	3	11	2407	4	3	2250	US	2	2	117	81	1	5	6	7	3	7	3	3	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	2	1	2	1	19	2	1	1	7	4	60	1	1	5	creative writing"
"2	32	2609	4	5	5551	2	26	3399	2	18	2699	3	12	3001	3	9	2467	3	25	1887	2	24	2114	2	15	3860	2	16	3330	2	2	5672	2	35	2949	3	29	1589	1	10	4288	1	42	2702	3	28	2670	3	6	7012	2	13	2833	2	27	3221	3	19	937	2	14	2985	2	40	2006	2	31	2068	2	38	3081	2	7	7670	2	34	1986	1	22	3506	2	36	1882	1	30	3100	3	33	3652	1	17	2457	2	4	3811	2	23	3435	4	21	2843	2	3	9527	3	1	7583	2	8	3631	2	37	1629	3	41	2145	3	39	4033	2	20	2185	2	11	4081	US	2	2	147	176	4	5	7	5	5	7	6	3	3	4	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	1	1	17	1	1	3	4	5	50	2	1	2	"
"1	31	1686	1	19	2721	1	23	2038	1	26	2849	1	15	1889	1	17	2017	1	25	1771	1	3	3852	1	35	3382	1	2	5497	2	6	3618	1	36	2295	1	27	1495	2	11	3607	1	37	1152	1	22	1834	1	1	9942	1	7	2456	1	4	5442	1	40	2913	1	16	1323	1	41	1749	1	21	1292	1	29	1770	1	18	3574	1	8	2199	1	14	1504	1	20	2102	1	42	2615	1	5	6861	1	33	1643	1	9	5920	1	10	1932	1	13	1846	1	12	3672	1	28	1237	1	30	2412	1	32	1270	1	39	1664	1	24	2647	1	34	1302	1	38	2145	GB	2	16	116	131	6	3	7	2	7	5	6	1	3	7	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	3	3	2	1	55	2	1	1	7	1	60	1	2	2	English literature"
"4	7	2566	4	24	2716	3	42	2367	1	14	2343	4	16	2400	2	4	3541	1	21	2583	1	17	2377	4	8	6900	4	11	1766	4	10	3712	1	25	3779	4	28	1517	2	33	4746	1	30	2646	4	26	1988	3	20	3316	3	18	2155	1	35	3101	4	6	2149	2	23	5201	1	32	2096	1	36	1716	4	9	2522	4	12	6520	4	29	1301	2	31	2087	1	34	2152	1	38	2354	4	27	3498	3	19	2933	4	40	3066	4	2	6107	4	1	3917	4	37	5415	1	22	1482	2	39	4416	2	15	3422	2	41	2416	4	3	3371	1	13	2318	4	5	3521	US	2	4	131	102	1	6	5	6	5	7	2	5	2	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	4	2	2	1	43	2	1	1	2	2	60	1	2	1	philosophy and. omputer science"
"3	15	2617	1	26	2081	2	16	3081	1	8	6748	3	24	4114	3	33	2365	1	11	6048	3	21	4283	3	38	7249	2	1	10423	3	37	2082	2	3	8455	2	23	2298	3	27	3416	1	6	3099	2	18	2482	1	39	2682	3	36	2200	1	7	5748	3	35	3565	1	34	2334	2	12	4166	2	42	3633	2	22	3049	3	9	5632	3	5	3066	3	31	1498	1	41	2499	3	14	3315	3	10	5382	2	2	7626	3	28	2500	2	4	4315	2	25	4734	3	40	3883	1	20	2749	2	17	4948	1	13	2866	3	30	2017	4	19	4067	1	32	2366	3	29	4132	US	2	3	166	220	6	5	7	6	5	5	6	2	6	5	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	2	2	2	1	46	2	1	1	7	1	60	1	2	2	"
"4	28	2438	4	7	1505	4	24	1073	4	13	1937	4	27	1123	4	11	1247	4	2	2153	4	14	1317	4	10	2039	4	17	1392	4	8	1236	4	36	6024	4	34	856	4	20	2001	4	31	1541	4	21	1359	4	41	1136	4	39	1502	4	5	1965	4	38	996	4	29	1077	4	42	1094	2	35	2802	4	3	1980	4	25	2941	4	19	920	4	15	954	4	37	1037	4	4	1507	4	32	1305	4	23	1161	4	16	1166	4	1	11244	4	9	1059	4	30	1323	4	18	922	4	22	1236	4	33	1080	4	6	1215	4	40	1511	4	12	1102	4	26	1249	CA	2	303	79	66	4	2	1	7	5	7	4	2	1	4	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	2	3	2	2	19	2	1	1	1	2	10	2	1	8	"
"2	33	2632	2	5	5968	3	20	7058	2	1	5442	4	9	2840	2	27	6304	1	30	6136	3	8	2833	2	34	8399	3	29	2151	2	31	2610	3	3	6726	3	16	2688	2	39	7945	1	15	3759	1	40	4232	3	21	4680	2	42	13890	2	19	6053	3	18	2895	3	23	2616	3	28	6016	1	26	2672	1	35	3248	2	11	13592	2	32	1789	2	41	2560	2	25	2458	2	22	6799	2	7	9288	3	17	4495	4	2	11098	3	13	1897	3	12	2599	3	38	7815	1	36	2352	2	6	3311	3	10	2383	3	4	2879	2	24	6557	2	37	2240	4	14	3312	US	2	12	228	348	1	4	1	6	5	4	2	7	2	5	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1	2	2	1	15	2	1	1	1	2	10	2	1	2	"
"3	19	2932	4	30	4677	3	26	4730	3	40	6718	3	11	5404	2	8	4933	3	23	4182	3	17	9873	3	24	5201	4	33	3976	3	32	5316	2	5	5686	4	41	2919	4	22	34740	4	10	1271	4	12	8094	4	4	3186	3	18	24689	3	42	8277	2	2	15244	4	1	7042	4	31	3327	4	39	4269	4	29	10765	2	9	10253	3	14	2330	4	38	3238	4	36	1400	4	28	6745	2	7	9652	3	27	32112	4	20	2468	3	13	3544	4	25	28171	2	15	61382	2	3	3045	4	21	4003	4	34	1848	4	35	1733	2	37	10428	4	16	3405	3	6	5812	NZ	2	239	394	223	5	5	2	6	6	4	3	7	2	6	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	3	1	1	15	2	1	1	2	1	60	2	1	2	"
"4	27	2747	3	2	7628	4	5	19081	2	21	4533	4	42	1382	2	17	3577	2	34	6723	4	14	3135	4	15	3910	4	35	2355	4	6	3327	4	28	3423	4	26	1140	2	11	8000	3	29	6397	4	30	2447	4	3	5971	4	9	3450	4	16	14734	4	37	1848	4	22	1879	4	19	3475	1	12	2482	4	36	2344	3	33	8532	4	4	11618	4	1	5748	4	39	3388	4	18	2136	4	7	3976	4	38	2052	4	8	6147	4	23	1832	4	41	1083	4	40	5267	4	24	1114	4	13	3627	4	10	2149	4	31	11374	4	25	3218	2	32	2316	4	20	2410	FO	2	4	194	125	1	4	1	7	1	7	4	5	2	6	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	3	1	2	21	2	1	1	2	1	60	2	1	3	"
"3	32	3175	1	14	2442	4	2	11647	2	37	6233	4	27	1999	3	10	2942	2	29	2640	4	21	2449	3	34	4481	4	9	2417	3	17	2647	3	19	3335	3	38	1993	3	6	3140	3	31	2766	4	23	2359	3	42	2708	3	7	3484	2	36	2861	2	16	2713	4	15	2082	4	39	2959	2	40	2224	4	12	2648	2	3	9687	3	11	2626	3	25	2181	3	24	2247	4	26	2576	2	20	3069	4	13	2458	2	1	16920	3	35	2383	3	28	2317	1	30	3134	1	22	2103	4	5	2758	4	8	2117	3	4	3685	2	33	3962	2	18	3132	3	41	3533	US	1	3	149	170	2	4	6	6	5	6	7	1	2	2	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	3	2	1	1	54	2	1	1	7	1	60	1	2	1	Accounting"
"1	13	6597	1	19	1874	1	10	4225	1	26	8802	1	32	2380	2	16	3909	1	35	2926	1	3	7753	1	23	6725	1	24	3532	1	33	3075	1	22	4862	1	15	3871	2	9	11473	2	4	6221	1	5	3214	1	38	3084	2	34	4103	1	31	3940	1	30	2162	1	28	1983	1	41	1921	1	18	2105	1	2	12139	2	17	5532	1	11	3013	2	7	4976	2	36	6230	1	37	2841	1	40	3086	1	12	2804	1	21	5479	1	25	2975	1	14	4670	2	8	15380	1	39	1584	1	29	2869	1	27	2720	2	1	12802	1	6	13504	1	42	1821	1	20	3598	US	2	6	226	228	5	1	7	5	5	5	7	1	3	6	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	2	1	2	1	61	1	2	1	6	1	60	1	2	2	"
"3	36	2272	3	19	2840	4	8	3360	3	11	2217	2	15	2311	4	31	2240	2	17	1689	4	12	1751	3	29	2528	2	4	2592	4	32	1807	4	16	2681	3	22	1839	1	37	6201	3	39	2713	3	7	6000	2	10	3055	1	20	1976	3	28	2880	1	38	1919	1	25	1920	1	26	2352	1	18	2303	1	34	2632	4	6	4759	4	30	1528	3	33	1809	4	1	6060	3	14	1904	3	27	1785	1	42	6200	3	9	3184	3	24	2031	3	13	1905	1	5	2665	3	35	1431	2	41	2568	1	23	2321	3	2	4383	4	40	2736	1	21	2072	2	3	3071	HU	2	2091	117	73	1	2	3	6	4	7	7	2	4	2	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	3	1	2	2	21	2	1	1	4	1	60	1	1	2	Early Childhood Educator Assistant"
"2	13	3297	1	15	2496	1	1	9923	1	32	2688	2	38	5137	2	5	3754	1	40	2187	2	10	1794	2	29	3471	1	33	1933	1	39	2133	1	22	2113	2	11	1451	3	3	9731	1	42	2544	1	9	2438	1	17	1801	2	31	2155	1	6	5109	1	21	2452	1	16	1573	1	12	1941	1	2	3552	2	37	4482	1	34	2849	2	4	2892	2	36	1466	1	30	2300	2	8	5017	1	27	3862	2	25	3132	2	24	3381	1	14	6342	1	18	1198	2	35	3243	1	19	1351	1	28	2818	1	20	1149	2	23	1658	2	7	5504	1	26	2565	2	41	2015	US	2	12	133	248	1	5	5	6	7	7	5	5	7	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	2	2	2	1	27	1	1	1	12	2	60	1	2	3	"
"3	3	8188	1	2	10699	3	13	3222	3	18	3159	4	30	3325	3	6	3093	1	42	6539	3	26	1818	3	21	3041	3	7	2424	3	10	2519	3	4	5698	3	12	2518	3	9	4648	1	39	2473	4	36	3027	4	28	2401	3	8	4052	4	5	4658	3	38	2453	3	27	2074	4	17	2834	2	22	1951	4	29	2200	2	15	5341	3	33	2367	3	16	1843	2	40	1905	3	24	1740	3	20	3593	4	31	2958	3	32	5910	3	11	2056	4	25	2061	2	41	7609	2	19	1917	4	1	16288	4	37	1863	3	23	4365	2	14	2951	2	35	2433	4	34	2624	US	2	12	159	236	5	1	6	6	5	6	7	2	2	5	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	3	1	2	1	40	2	1	1	4	1	60	1	1	2	Theatre"
"3	3	986	2	28	1829	2	23	5958	2	21	3092	3	32	3419	3	1	2008	2	38	2178	4	9	2787	2	22	41074	2	30	2050	4	12	1875	3	2	3120	3	8	3630	3	20	3719	2	25	2189	2	37	1965	4	35	1393	3	17	2525	1	27	4869	2	16	1122	2	36	2612	4	19	1811	2	10	3688	2	33	2084	2	26	2974	3	11	2035	4	42	2257	1	29	3350	3	39	2604	2	31	3681	3	7	6845	3	6	192	2	41	2827	4	18	1962	2	13	4817	1	15	981	3	34	3518	3	40	2259	3	4	200	2	24	3044	1	14	3179	3	5	192	US	0	4	173	131	7	6	2	7	7	1	7	7	1	2	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	3	2	1	17	2	2	1	9	5	60	2	1	2	Speech Pathology "
"1	17	6627	2	16	3297	1	8	6140	1	19	4891	2	20	6299	2	28	4250	1	40	3409	2	2	6757	1	9	9060	2	30	3580	1	26	3383	2	18	5393	2	22	2855	1	36	9063	2	14	4286	1	31	3330	2	37	3683	2	1	11213	1	42	3690	1	11	5274	2	3	8347	2	6	3578	1	33	3756	1	38	5087	1	25	7930	2	35	2882	1	21	3607	1	5	2918	1	7	6942	1	10	4997	1	32	4479	1	13	7688	1	24	5213	1	15	10337	1	39	4863	1	4	5727	2	29	4913	2	23	3127	1	41	12123	2	12	6266	1	27	2855	2	34	4943	GB	2	597	237	215	5	6	6	3	5	5	3	5	4	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	2	1	58	2	1	1	12	4	60	1	3	3	art"
"4	19	3229	2	21	3291	3	20	1009	4	38	3391	4	34	1351	4	12	4275	4	33	3474	3	26	5845	3	31	10033	4	32	2394	4	29	10451	3	27	3415	4	10	971	4	3	7466	3	16	3414	4	8	5354	4	28	2061	4	23	12807	3	2	13520	1	17	2529	4	37	1595	3	30	14697	3	41	4961	2	15	3633	4	24	7208	4	9	1720	4	42	2050	4	11	1251	4	6	2751	1	13	5758	2	14	4469	2	1	5706	2	40	2173	4	7	1841	1	36	4653	3	4	3574	4	35	1252	4	18	2812	1	25	5035	4	22	1720	4	5	1718	4	39	5440	MA	2	60	198	368	1	7	7	7	5	7	3	6	4	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	3	2	2	14	2	1	1	1	2	20	2	1	0	"
"2	19	4860	1	16	10442	1	28	4075	1	3	21885	1	15	4034	1	26	5098	2	11	1352	2	9	3296	1	35	6979	1	40	3612	2	24	5138	2	14	5500	2	32	4237	3	6	18690	2	25	7731	1	7	16129	1	8	4963	1	37	6366	1	36	4745	2	20	6905	1	41	2461	2	4	14337	1	17	3607	1	34	6220	2	31	8910	2	23	4373	1	5	9614	1	30	2275	2	2	13786	1	33	9019	1	22	7205	1	39	6044	2	38	4078	1	12	3229	2	27	8136	1	1	17134	1	13	5326	1	18	10324	2	29	6745	1	21	9044	2	42	13230	1	10	8945	DE	2	15	349	331	3	2	6	2	7	5	6	2	6	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	1	4	3	1	2	55	1	1	1	1	1	60	2	2	3	Law"
